"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","75","119","38","41"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Negative Flow - Invalid Username","0","0","1","0","0"
"App Setup Module","Introductory Screens and Language  Selection","","0","1","4","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Negative Flow - Empty Mobile Number","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Positive Flow - Username","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Negative Flow - Invalid Mobile Number","0","0","1","0","0"
"App Setup Module","Introductory Screens and Language  Selection","Language Selection and Navigation","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Positive Flow - Mobile Number","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password Negative Flow - Empty Username","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password UI Verification","0","0","1","0","0"
"Forgot Password Module","Forgot Password Functionality","","0","1","0","0","0"
"Forgot Password Module","Forgot Password Functionality","Forgot Password UI Verification after Valid Username","0","0","1","0","0"
"","","Forgot Password UI Verification","0","0","1","0","0"
