"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 11 13:40:50 IST 2026","Fri Sep 11 13:42:40 IST 2026","109610","Suite","M2006C3MII","com.intelehealth.tests.EditProfileTest","com.intelehealth.tests.EditProfileTest","IDA4_1994_uploadAPhotoAndVerify","Verify that user can change the profile photo by uploading photo",""
"passed","Fri Sep 11 15:38:01 IST 2026","Fri Sep 11 15:38:21 IST 2026","19912","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2247_verifyClosedCountIsDecreased","Verify the count once user closed the visit",""
"passed","Fri Sep 11 13:22:54 IST 2026","Fri Sep 11 13:26:21 IST 2026","206445","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","verifyTheAppointmentsSortedInUpcomingTab","Verify the patient details in cancelled section of upcoming tab",""
"passed","Fri Sep 11 18:32:11 IST 2026","Fri Sep 11 18:33:30 IST 2026","78696","Suite","M2006C3MII","com.intelehealth.tests.ChangeLanguageAndProtocolTest","com.intelehealth.tests.ChangeLanguageAndProtocolTest","IDA4_2039_verifyLanguageSyncFunctionality","Verify the sync functionality in Language selection & protocol page",""
"skipped","Fri Sep 11 17:06:59 IST 2026","Fri Sep 11 17:07:01 IST 2026","1441","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2555_verifyFunctionalityOfBackButtonOnVisitReasonSummaryScreen","Verify the functionality of Back button on 2/4 Visit Reason summary page ",""
"passed","Fri Sep 11 13:43:23 IST 2026","Fri Sep 11 13:43:38 IST 2026","14776","Suite","M2006C3MII","com.intelehealth.tests.EditProfileTest","com.intelehealth.tests.EditProfileTest","IDA4_1992_verifyUserCanSaveUpdatedDetails","Verify that user can save the updated details",""
"skipped","Thu Sep 10 17:56:28 IST 2026","Thu Sep 10 17:56:29 IST 2026","911","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2604_verifyPictureUploadedFromGalleryInFiveOfSix","Verify picture is uploaded when selected from gallery/photos in 4 of 6",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2479_verifyFiveOfTwelveQuestionIsDisplayed","Verify when user selects any option other than Others[Describe]in 4 of 12",""
"passed","Fri Sep 11 13:06:39 IST 2026","Fri Sep 11 13:06:46 IST 2026","6895","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2352_verifyThePatientVisitDetailsInUpcomingSection","Verify the patient visit details in Upcoming section",""
"passed","Fri Sep 11 14:04:33 IST 2026","Fri Sep 11 14:04:48 IST 2026","15517","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2071_verifyThatFollowUpVisitsShouldNavigateToFollowUpVisitsPage","Verify that follow up visits should navigate to Follow-up visits page",""
"broken","Thu Sep 10 16:11:19 IST 2026","Thu Sep 10 16:11:36 IST 2026","17079","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2641_verifyFamilyHistoryUi","Verify the UI of Family history screen",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2456_VerifyConfirmVisitPopupYesButtonFuntionality","Verify clicking on Yes button in Confirm visit reason popup",""
